Time	Nup107-Mean	Nup107-STD	Nup93-Mean	Nup93-STD	Nup205-Mean	Nup205-STD	Nup62-Mean	Nup62-STD	SEH1-MEAN	SEH1-STD	Nup188-Mean	Nup188-STD
62.5	32.09749525	2.718101249	47.24674211	3.500270906	16.10029018	2.826102552	46.670016	5.35111599	29.58549134	2.605041668	15.81773579	1.393364103
63	31.27496747	3.988625098	45.97416128	3.504251833	16.24369871	2.482001401	47.60376355	4.221433503	28.7825797	2.374563591	16.13273531	1.632424975
63.5	31.99083573	4.033226342	46.58954852	3.778660211	15.96242954	1.772515576	46.98968925	5.011650231	30.29428838	2.747249031	16.85194089	1.83648308
64	32.76798169	4.689542161	47.80902439	4.943712169	16.14321261	1.906218315	46.91130224	4.149947944	29.34527457	2.110961883	16.52427127	1.538265388
64.5	32.96041907	5.095824856	47.75328203	3.317301587	16.13270158	1.549929546	45.68929077	4.243850526	29.26820832	2.083863554	15.9582216	2.127049687
65	32.18342585	3.638051341	47.13500891	2.575781012	16.02301161	1.675341421	45.92830895	5.695890731	29.50316439	2.385491544	16.09823874	1.57293427
65.5	32.51492216	3.634736037	48.04373708	2.95184824	15.1796564	1.73389407	46.65930292	4.525987932	29.10190563	2.164070251	16.71170852	1.279307506
66	31.25703495	4.184377319	46.07217616	3.35602185	15.75325808	2.542375678	47.62970054	4.614183172	28.76261944	2.182210574	15.22739755	2.195703048
66.5	31.73937442	2.750034734	47.15612366	3.259987234	16.46796136	2.680749292	46.33077775	5.784338504	28.15668785	2.376431034	15.55366063	1.033170295
67	30.95997314	3.099880985	46.38293914	3.393476375	16.22906595	2.615754435	46.52389705	4.842470613	28.60491543	2.514701392	16.18104575	2.055726757
67.5	31.33235805	3.167977059	48.11165971	3.400219098	15.66474002	2.787965028	46.84491943	5.005843736	29.24051963	2.405670944	15.72784382	1.319415019
68	31.76238827	4.066877474	47.47892728	2.835926718	15.5156983	1.969111396	47.25966417	4.16277661	28.47392029	2.236008848	15.7090231	1.648508858
68.5	32.91319763	3.0085222	47.24663966	3.204465686	15.82293635	2.635197835	46.97916375	5.768553304	28.54644589	2.433783276	16.11306645	0.754584915
69	31.17163219	1.775329242	46.4700561	2.044824297	15.48758557	2.157342627	45.63494754	3.838094306	28.30128341	2.439857874	15.8603396	1.301629486
69.5	31.70770072	2.616193399	46.92658886	1.738609361	16.00792246	1.874188828	45.92794873	5.292486231	28.27727848	2.728908897	16.17279802	1.448075123
70	31.95867697	3.60966767	47.01057281	3.526705729	16.04190055	2.033796588	45.46991905	4.716640536	28.5900263	2.633302916	16.84535474	1.610416149
70.5	32.00814158	4.404830654	46.2898998	3.590897862	15.88533346	1.734691358	45.79923958	5.48096416	28.99674329	2.176521489	16.05132067	1.178079293
71	32.6399222	4.948073519	46.32415745	3.313704979	16.13071397	2.137880643	45.94008192	4.435679739	28.92997664	2.113020298	16.44412815	1.486489491
71.5	31.58914346	4.674451682	46.40479384	3.185687032	15.82444885	2.721246605	45.85271853	3.68611399	29.16243234	2.183703096	15.79297678	1.791887026
72	31.76595732	3.385101908	47.14633431	3.941536571	15.73310086	2.158658783	46.92096606	5.590497676	29.32034087	2.080314825	16.58690517	1.49869793
72.5	32.32454104	2.927889031	47.97220235	3.747583352	15.12604951	1.921486056	47.59570675	3.777572576	28.52694041	2.250523332	16.33308415	1.719185747
73	32.51467278	3.308360148	46.96009653	3.178280593	15.64675069	1.842137479	47.09675365	4.242563264	29.72595238	1.906752668	15.39086688	1.427081886
73.5	31.63100761	2.805901301	48.00234079	3.821091949	15.90064068	1.92416451	46.44025592	3.884780401	28.27327974	1.624225305	15.93082484	1.226329675
74	32.39254046	3.533741149	48.63130689	3.287499124	15.26203183	2.199720026	47.66191141	5.437795257	29.34576294	2.545246611	16.8384403	1.649956288
74.5	32.53539808	4.922750034	48.09774205	3.701641229	16.03972085	1.898439866	47.20637209	5.879838957	28.76421299	2.811938658	15.67694918	1.530692321
75	31.02395731	3.040246343	47.98209748	2.57250724	15.65882942	1.718135843	47.40575605	4.571213587	29.14334394	2.53408913	16.4400331	1.757854103
75.5	32.41750426	4.028967344	48.03076977	2.205364013	14.62683618	1.674367625	46.38113409	3.895200582	29.03785212	2.685536073	16.48895256	1.123873785
76	32.4726017	5.403509271	47.94371493	2.892015344	15.18968061	2.00879679	45.26700967	4.056584222	29.57597608	3.01399828	15.78956485	1.5491704
76.5	32.58042019	5.481115208	47.72075784	1.683762664	15.69520733	1.392989955	45.64037496	3.64431947	30.85819446	2.857509349	16.3847971	1.791384734
77	31.78872814	4.6205783	47.54265939	1.954539531	16.34701337	0.861682515	45.89390795	4.325552008	28.9603631	2.58205472	15.79782203	1.288937896
77.5	32.81331621	5.245632066	46.45052099	3.283247278	15.86853558	2.297522444	46.20428835	4.599582619	28.5296354	3.450576868	15.42075889	1.553368694
78	30.87882758	5.274484606	47.37802979	2.066040657	15.94939109	2.415849827	45.77583184	5.546279098	28.44012664	3.175286716	15.85602047	1.809997643
78.5	33.10696761	5.06750483	48.35664572	2.40664678	16.33272988	1.763904702	45.68547636	5.237678775	28.28830896	3.192162866	15.85661187	1.091806951
79	31.09190054	5.350654596	47.87365366	2.657877567	16.13607613	1.88364812	45.56162964	5.672275982	29.03127287	3.690873683	15.96880701	1.721924277
79.5	30.80604701	4.647979893	46.7497679	3.525931287	15.88783017	2.125975423	44.25013167	5.34188738	29.3721199	3.374820263	16.59293634	2.12812198
80	31.40623648	4.103747101	46.65541653	3.175832133	16.47058049	2.531068989	44.62739999	5.05260075	28.98680345	2.607884398	16.47594524	0.738657683
80.5	31.79179248	4.607715829	47.58241437	2.937130886	15.09111044	2.128899666	45.33394932	3.780190045	28.933464	2.306537489	16.23867125	1.536895327
81	32.1418291	4.066170273	47.51660937	2.631129805	15.80109593	2.142171913	45.43562777	4.530885035	28.84094516	2.94981055	15.87013201	1.572736646
81.5	31.6329439	4.266886201	48.0705499	3.337971512	15.57596863	1.689327782	45.44998545	4.126769928	28.63441637	3.296275352	15.64238122	1.583191908
82	31.97043021	4.851558037	47.20548481	2.9369502	15.59680363	2.140481612	45.62160835	4.776296897	28.70318223	2.933519363	15.94418779	1.325589318
82.5	32.56808969	4.89355654	46.89861128	2.8336569	14.89424935	2.315614283	46.11154225	4.188138976	30.60592542	2.55731078	15.66047931	2.3567391
83	32.75174202	5.61205178	47.62666173	3.626278377	15.49624964	2.532973673	46.17352139	4.998960375	29.65432798	3.072748112	16.2219591	1.476430749
83.5	32.62559667	4.628472483	47.79225233	4.380778369	15.61187115	2.250590268	45.36991741	5.965371166	29.51877146	2.808236454	16.81995	1.545959499
