,time_min,Pom121,Nup153,Nup107,Seh1,Nup205,Nup93,Nup62,Nup214,TPR,Nup358
196,98.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.739943884252757,19.545717437478014,10.482112680671229
197,98.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.482112680671229
198,99.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.493020186062145
199,99.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.493020186062145
200,100.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.503927691453061
201,100.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.503927691453061
202,101.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.514835196843977
203,101.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.514835196843977
204,102.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.514835196843977
205,102.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.758873120499477,19.545717437478014,10.525742702234897
206,103.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.525742702234897
207,103.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.536650207625813
208,104.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.536650207625813
209,104.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.536650207625813
210,105.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.54755771301673
211,105.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.54755771301673
212,106.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.54755771301673
213,106.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.558465218407646
214,107.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.558465218407646
215,107.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.558465218407646
216,108.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.777802356746196,19.545717437478014,10.569372723798564
217,108.5,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.796731592992916,19.545717437478014,10.569372723798564
218,109.0,22.78250401398807,29.751545970968504,32.26907369086427,29.464008101843,16.753516531245634,46.48177352005033,46.663864771340975,18.796731592992916,19.545717437478014,10.569372723798564
